"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
231;5;10;19;31;44;45;27;1088365900;9;85923624;19
232;8;9;10;12;24;44;35;1110918400;9;92576534;18
233;4;6;13;17;28;40;39;999153750;10;64048318;26
234;13;21;22;24;26;37;4;2519743875;4;73036055;23
235;21;22;26;27;31;37;8;3433330100;3;59195347;29
236;1;4;8;13;37;39;7;5030040150;2;40894636;41
237;1;11;17;21;24;44;33;1440630729;7;43095792;39
238;2;4;15;28;31;34;35;1121660567;9;58016926;29
239;11;15;24;39;41;44;7;1134140167;9;58662423;29
240;6;10;16;40;41;43;21;5098251450;2;60693470;28
241;2;16;24;27;28;35;21;2552016300;4;50039536;34
242;4;19;20;21;32;34;43;1234542375;8;45723792;36
243;2;12;17;19;28;42;34;2408850000;4;55375863;29
244;13;16;25;36;37;38;19;9121583100;1;60810554;25
245;9;11;27;31;32;38;22;1382583129;7;46086105;35
246;13;18;21;23;26;39;15;1911774240;5;61274816;26
247;12;15;28;36;39;40;13;1669313900;6;57562549;29
248;3;8;17;23;38;45;13;1227479363;8;71158224;23
249;3;8;27;31;41;44;11;1663568700;6;57364438;29
250;19;23;30;37;43;45;38;1994726280;5;97780700;17
251;6;7;19;25;28;38;45;1282616400;8;42753880;40
252;14;23;26;31;39;45;28;1391089715;7;67622417;24
253;8;19;25;31;34;36;33;2466189525;4;82206318;20
254;1;5;19;20;24;30;27;9741015900;1;49197050;33
255;1;5;6;24;27;42;32;1598618550;6;122970658;13
256;4;11;14;21;23;43;32;4891017000;2;47951148;34
257;6;13;27;31;32;37;4;2391377025;4;88569520;18
258;14;27;30;31;38;40;17;2426434350;4;57772247;28
259;4;5;14;35;42;45;34;4838533500;2;64513780;25
260;7;12;15;24;37;40;43;2310085575;4;59232964;26
261;6;11;16;18;31;43;2;3192299100;3;49879674;32
262;9;12;24;25;29;31;36;4518741600;2;71726058;21
263;1;27;28;32;37;40;18;1551704900;6;57470552;27
264;9;16;27;36;41;44;5;1344889200;7;58112497;27
265;5;9;34;37;38;39;12;1200838575;8;84269374;19
266;3;4;9;11;22;42;37;3207211700;3;44544607;36
267;7;8;24;34;36;41;1;3257663300;3;58172559;28
